ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM Discapacidad,IVM Educación,IVM Habitabilidad,IVM Familiar,IVM Participación,IVM CSE Familia,IVM CSE Comunal
22260,7,COLEGIO SANTA ANA,Particular Subvencionado,Urbano,10,102,10209,Quemchi,88,42.2588584923665,19,27,29,13,46.734562347979,0.962882078637081,11.1123276169857,19.2162263337042,33.698302247429,1.36950577813346,48.9260819799097,48.7778352493124
22261,5,ESCUELA PARTICULAR PABLO NERUDA,Particular Subvencionado,Urbano,10,101,10108,Maullín,157,42.4869488453086,3,2,4,1,47.9055178453098,12.8244540973354,9.10872599084651,19.205915457835,33.8870982815341,0.977160879533066,57.6446940158329,37.9145041514209
22262,3,COLEGIO SAN CRISTOBAL,Particular Subvencionado,Urbano,10,101,10106,Los Muermos,101,40.9472156985316,28,29,33,11,46.1663736331038,1.39824460264131,9.90195511094641,20.5976352080669,29.3272005194226,0.795630795578915,50.835891621183,39.6188097727588
22263,1,COLEGIO SAN MARCOS,Particular Subvencionado,Urbano,10,103,10301,Osorno,157,40.6613809529433,4,6,2,3,44.7118166556225,1.88296939822363,8.40492403277394,20.4738032246132,32.6741347634455,0.651440586355378,47.0537510756063,16.8332185178464
22265,8,GREEN COUNTRY SCHOOL,Particular Subvencionado,Urbano,10,103,10301,Osorno,26,48.327229992042,3,7,5,11,37.9616648091522,7.69230769230769,14.6586029939294,19.750412022107,33.6964649296092,28.5042624902695,53.7093747731279,16.8332185178464
22268,2,ESCUELA PARTICULAR GABRIELA MISTRAL,Particular Subvencionado,Rural,14,141,14104,Los Lagos,20,47.6744694003861,2,4,7,7,43.4005163703756,0.0,16.934971455896,22.2848827302102,40.6392662869978,1.14002102612191,64.0842542778454,35.7555561291
22269,0,ESCUELA PARTICULAR TRAFUN CHICO,Particular Subvencionado,Rural,14,141,14108,Panguipulli,157,63.4881938396868,0,0,0,1,63.8740237937464,0.0,6.88279045596896,26.3752893098389,68.2843220168177,0.0,60.6092365913456,42.774350023171
22275,5,COLEGIO PARTICULAR GRACIA PAZ,Particular Subvencionado,Urbano,14,141,14101,Valdivia,305,43.5096527917175,62,75,92,76,51.1109102830654,4.00452426693048,14.265128642526,19.7471429831016,31.9478848547077,1.6903832035613,50.1948008932556,14.5717178836853
22277,1,COLEGIO NACIONAL DE LA UNION,Particular Subvencionado,Urbano,14,142,14201,La Unión,79,45.9163622786482,10,16,32,21,54.6198798971759,2.50268084574026,12.8467318097574,20.3773505045191,31.7533480035874,2.72706577086046,54.4515169507736,27.3773812137801
22280,1,ESCUELA PARTICULAR ALONSO DE ERCILLA,Particular Subvencionado,Rural,14,142,14202,Futrono,27,46.3022675122337,5,5,7,10,35.9086062700025,0.0,16.3419182628258,23.5036918740022,32.4044533111822,2.66979581308964,61.7056633224238,34.5054226940552
22283,6,COLEGIO SAN MIGUEL,Particular Subvencionado,Urbano,10,103,10301,Osorno,35,43.7780693314277,4,12,12,7,48.4379586560316,4.03493442476491,12.8610342485302,19.1032582128818,33.4025543112318,1.20447111411293,53.0033510657947,16.8332185178464
22284,4,ESCUELA PARTICULAR HUALINTO,Particular Subvencionado,Rural,10,103,10305,Río Negro,157,47.553170219867,1,3,2,4,49.6526094200989,0.0,22.171316438316,19.2063146152532,27.3276906555894,0.977160879533066,74.0141439017006,33.2958212260846
22291,7,COLEGIO KIMEL,Particular Subvencionado,Rural,14,141,14107,Paillaco,157,46.4678435007593,0,2,8,1,55.5447445772701,0.0,11.2707026270861,19.5681857814801,35.2706258175361,1.18443742973705,51.0753935748848,28.9146426741292
