ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM CSE Familiar,IVM Estimulación y Apoyo,IVM Familia,IVM CSE Comunal,IVM Derechos
15515,2,COLEGIO PARTICULAR SUBV. CHILDREN SCHOOL,Particular Subvencionado,Urbano,6,61,6106,Graneros,54,55.5324164637325,1,5,5,2,31.4972476143877,42.4547963777294,43.0647405565587,70.464956081625,9.31828672361787,5.82875600566775
15522,5,CHARLY SCHOOL,Particular Subvencionado,Urbano,6,62,6201,Pichilemu,24,51.8268831488532,9,5,5,5,24.9630896756594,35.5671756001772,34.470159077529,74.2441617314083,24.0434777319094,5.17609049692997
15526,8,ESCUELA MUNICIPAL AMERICA,Municipal DAEM,Urbano,6,62,6204,Marchihue,58,63.2549101628786,4,6,14,34,30.3509844840515,46.9219578096624,44.9916112536163,72.6509442260397,41.8964930352264,10.2380926794923
15531,4,JARDIN INFANTIL MUNDO FELIZ,Particular Subvencionado,Urbano,6,61,6117,San Vicente,25,44.9811822459888,15,4,3,3,22.9808698010657,28.1918172389461,27.2158823528809,71.1764566195163,28.6001204240181,0.0
15535,7,ESCUELA SANTA TERESA DE AVILA,Municipal DAEM,Rural,6,61,6115,Rengo,23,57.9050060937929,2,4,11,6,28.7119587942234,46.5693063167377,50.2350832541581,70.5178750305677,14.7697308020072,11.8555876425634
15544,6,COLEGIO CRIPTOCARYA ALBA,Particular Subvencionado,Urbano,6,61,6112,Peumo,70,51.573238117556,22,16,22,10,25.8971487055422,38.747252093995,38.7594261420078,69.8671906756791,13.1022571485211,9.69813057669148
15554,3,EL PEQUENO MOZART,Particular Subvencionado,Urbano,6,61,6108,Machalí,111,44.5157523482896,68,25,14,4,23.8386097670148,31.4336040014236,35.6697901184225,72.1122059098076,3.89940616183691,3.63148929995246
15570,5,ESCUELA BASICA GALVARINO VALENZUELA MORAGA,Municipal DAEM,Urbano,6,63,6304,Lolol,23,64.5956058468612,2,4,2,15,21.0932416702853,46.4118855119658,54.2153959481487,72.6645502906092,49.8771605120515,3.29451426407307
15571,3,COLEGIO PARTICULAR LA PRIMAVERA,Particular Subvencionado,Urbano,6,61,6114,Quinta de Tilcoco,57,54.8325768340685,14,14,13,16,22.5500842421406,38.6373667621337,36.1406709563883,72.0914228569275,26.9076582375547,6.59252329953826
15579,9,COLEGIO PARTICULAR ALMA MATER,Particular Subvencionado,Urbano,6,61,6115,Rengo,54,51.5998823171766,16,20,9,9,23.2788140310596,38.5900137084102,34.5470750076342,71.1908542811688,14.9096863599023,6.00418836900591
15585,3,COLEGIO CRISTIANO RESURRECCION,Particular Subvencionado,Urbano,6,61,6101,Rancagua,48,49.7641268106671,17,17,9,5,25.8478369623402,35.6793382404382,35.3493218609074,73.9894099608248,5.29667225637931,8.39781900614006
15586,1,COLEGIO TIA MONICA,Particular Subvencionado,Urbano,6,61,6101,Rancagua,50,53.3658157879071,16,7,19,8,30.1693132186062,42.2073673867299,42.5209236823855,70.9951715553638,5.22835299231661,7.03095312294723
15588,8,ROSARIO COLLEGE,Particular Subvencionado,Urbano,6,61,6115,Rengo,27,58.3474592320822,5,4,6,12,29.2293396390136,45.6544789557613,42.1353718713709,72.0467439264871,14.9403050484628,8.30467303430812
15589,6,COLEGIO ALCALDE PEDRO URBINA,Particular Subvencionado,Urbano,6,61,6112,Peumo,26,51.8318549948535,10,4,8,4,29.9169422933454,42.0855115152449,67.5586531605049,65.6541951714223,13.1078483796453,7.69230769230769
