ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
7639,2,COLEGIO DARIO SALAS,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,281,18.9857874274914,155,34,19,73
7650,3,ESCUELA DE CULTURA Y DIFUSION ARTISTICA,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,202,19.3563083116313,98,30,21,53
7651,1,COLEGIO TECNICO PROFESIONAL PIEDRA AZUL,Municipal DAEM,Rural,10,101,10101,Puerto Montt,111,21.8252648172316,48,7,10,46
7699,6,COLEGIO SALESIANO PADRE JOSE FERNANDEZ PEREZ,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,1054,20.6190770150123,441,123,111,379
7701,1,COLEGIO ARRIARAN BARROS,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,355,17.2895786367157,219,37,25,74
7705,4,INSTITUTO POLITECNICO MARIA AUXILIADORA,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,692,19.0542534518884,369,72,70,181
7706,2,COLEGIO SANTO TOMAS DE PUERTO MONTT,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,456,17.6923257091552,273,58,48,77
7707,0,COLEGIO INMACULADA CONCEPCION,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,408,16.2707015743381,278,46,34,50
7709,7,COLEGIO SAN JOSE PUERTO MONTT,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,305,16.9680414431751,193,35,27,50
7720,8,LICEO PEDRO AGUIRRE CERDA,Servicio Local de Educación(SLE),Urbano,10,101,10109,Puerto Varas,542,21.6567922492948,246,38,47,211
7722,4,COLEGIO ROSITA NOVARO DE NOVARO PUERTO VARAS,Servicio Local de Educación(SLE),Urbano,10,101,10109,Puerto Varas,192,24.0194426307639,70,18,17,87
7724,0,CNB ARTISTICO,Servicio Local de Educación(SLE),Urbano,10,101,10109,Puerto Varas,161,19.1290535120277,92,17,13,39
7743,7,COLEGIO  BICENTENARIO FELMER NIKLITSCHEK,Particular Subvencionado,Urbano,10,101,10109,Puerto Varas,542,19.9007256076287,249,56,73,164
7744,5,COLEGIO INMACULADA CONCEPCION PUERTO VARAS,Particular Subvencionado,Urbano,10,101,10109,Puerto Varas,357,16.967555757463,219,38,38,62
7753,4,ESCUELA BASICA FRONTERIZA JUAN SOLER MANFREDINI,Municipal DAEM,Rural,10,101,10103,Cochamó,92,18.459119608166,48,11,10,23
7760,7,ESCUELA RURAL RIO PUELO,Municipal DAEM,Rural,10,101,10103,Cochamó,83,20.5810561227999,38,6,7,32
7772,0,LICEO POLITECNICO CALBUCO,Municipal DAEM,Urbano,10,101,10102,Calbuco,558,19.9077524758477,280,70,40,168
7773,9,COLEGIO EULOGIO GOYCOLEA GARAY,Municipal DAEM,Urbano,10,101,10102,Calbuco,205,18.7368028841074,102,24,23,56
7775,5,ESCUELA RURAL PARGUA,Municipal DAEM,Rural,10,101,10102,Calbuco,99,18.9936770296224,51,13,6,29
7776,3,ESCUELA RURAL EL SEMBRADOR,Municipal DAEM,Rural,10,101,10102,Calbuco,50,20.3127117509352,23,4,5,18
7826,3,COLEGIO SAN MIGUEL,Particular Subvencionado,Urbano,10,101,10102,Calbuco,457,18.210773386361,255,55,53,94
7830,1,LICEO CAPITAN DE FRAGATA FRANCISCO VIDAL GORMAZ,Municipal DAEM,Urbano,10,101,10108,Maullín,190,19.7682968660974,85,19,19,67
